price,unit,location,bedrooms,baths,parking_lots,state
"
                    ₦ 1 700 000
                ","
                        Per Year
                    ","Osapa london, Lekki, Lekki",3,3,2,Lagos
"
                    ₦ 9 000 000
                ","
                        Per Year
                    ","Off Kingsway, Old Ikoyi, Ikoyi-obalende, Ikoyi-obalende",3,3,,Lagos
"
                    ₦ 3 500 000
                ","
                        Per Year
                    ","Jakande , Lekki, Lekki",3,4,3,Lagos
"
                    ₦ 8 000 000
                ","
                        Per Year
                    ","Abia St Banana Island, Ikoyi-obalende, Ikoyi-obalende",3,3,,Lagos
"
                    ₦ 6 000 000
                ","
                        Per Year
                    ","save court estate ikate lekki lagos, Lekki, Lekki",4,4,,Lagos
"
                    ₦ 16 000 000
                ","
                        Per Year
                    ","GERALD ROAD, Ikoyi-obalende, Ikoyi-obalende",4,4,,Lagos
"
                    ₦ 4 000 000
                ","
                        Per Year
                    ","MEGAMOUND ESTATE, Lekki, Lekki",5,5,,Lagos
"
                    ₦ 35 000 000
                ","
                        Per Year
                    ","agungi lekki, Lekki, Lekki",4,4,,Lagos
"
                    ₦ 15 000 000
                ","
                        Per Year
                    ","Banana Island, Ikoyi, Ikoyi-obalende, Ikoyi-obalende",3,4,2,Lagos
"
                    ₦ 3 500 000
                ","
                        Per Year
                    ","chevy view estate , Lekki, Lekki",4,4,,Lagos
"
                    ₦ 250 000
                ","
                        Per Year
                    ","27 Adeyinka Karunwi Avenue, Igando-ikotun, Igando-ikotun",2,2,,Lagos
"
                    ₦ 320 000
                ","
                        Per Year
                    ","Salawe Avenue, Ikosi-Ketu, Kosofe, Kosofe",2,1,,Lagos
"
                    ₦ 3 500 000
                ","
                        Per Year
                    ","off Palace Road Oniru, Victoria Island, Lekki",3,3,,Lagos
"
                    ₦ 2 700 000
                ","
                        Per Year
                    ","35 Norman Williams St, Ikoyi-obalende, Ikoyi-obalende",2,2,1,Lagos
"
                    ₦ 5 000 000
                ","
                        Per Year
                    ","1066 Ademola Adetokunbo Cres, Wuse II, Wuse II",,,,Abuja
"
                    ₦ 20 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",5,5,5,Abuja
"
                    ₦ 2 000 000
                ","
                        Per Year
                    ","Jabi, Jabi, Jabi",0,,,Abuja
"
                    ₦ 1 400 000
                ","
                        Per Year
                    ","Jabi, Jabi, Jabi",2,2,2,Abuja
"
                    ₦ 15 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",4,5,5,Abuja
"
                    ₦ 20 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",4,4,4,Abuja
"
                    ₦ 25 000 000
                ","
                        Per Year
                    ","Wuse II, Wuse II",11,11,20,Abuja
"
                    ₦ 4 000 000
                ","
                        Per Month
                    ","Utako, Utako",3,4,4,Abuja
"
                    ₦ 900 000
                ","
                        Per Year
                    ","Nbora, Nbora",2,2,,Abuja
"
                    ₦ 7 000 000
                ","
                        Per Year
                    ","Wuse II, Wuse II",3,3,4,Abuja
"
                    ₦ 7 000 000
                ","
                        Per Year
                    ","Wuse II, Wuse II",3,3,4,Abuja
"
                    ₦ 10 000 000
                ","
                        Per Month
                    ","Maitama, Maitama",2,3,4,Abuja
"
                    ₦ 2 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",2,3,2,Abuja
"
                    ₦ 6 500 000
                ","
                        Per Year
                    ","Wuse II, Wuse II",4,5,5,Abuja
"
                    ₦ 10 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",3,4,"
                    ",Abuja
"
                    ₦ 10 000 000
                ","
                        Per Year
                    ","Jabi, Jabi",5,6,6,Abuja
"
                    ₦ 1 622 000
                ","
                        Per Year
                    ","Maitama, Maitama",1,2,4,Abuja
"
                    ₦ 2 700 000
                ","
                        Per Year
                    ","Wuse, Wuse",3,3,4,Abuja
"
                    ₦ 9 000 000
                ","
                        Per Year
                    ","Wuse, Wuse",5,6,6,Abuja
