price,unit,location,bedrooms,baths,state
"₦2,300,000,000.00 ","₦2,300,000,000.00 ",", Alexander road, Ikoyi, Lagos, Nigeria",0,,
"₦2,300,000,000.00 ","₦2,300,000,000.00 ",", Alexander road, Ikoyi, Lagos, Nigeria",0,,
"₦5,000,000,000.00 ","₦5,000,000,000.00 ",", Agodogba avenue, Parkview/Bourdillon, Ikoyi, Lagos, Nigeria",0,,
"₦180,000,000.00 ","₦180,000,000.00 ",", Osborne Road, Ikoyi, Lagos, Nigeria",0,,
"₦1,800,000,000.00 ","₦1,800,000,000.00 ",", Alexander Avenue, Ikoyi, Lagos, Nigeria",0,,
"₦980,000,000.00 ","₦980,000,000.00 ",", Lugard Avenue, Ikoyi, Lagos, Nigeria",0,,
"₦1,800,000,000.00 ","₦1,800,000,000.00 ",", Lugard Avenue, Old Ikoyi, Ikoyi, Lagos, Nigeria",0,0f,
"₦550,000,000.00 ","₦550,000,000.00 ",", McDonald Road, Ikoyi, Lagos, Nigeria",0,,
"₦270,000,000.00 ","₦270,000,000.00 ",", Ilabere Avenue, Ikoyi, Lagos, Nigeria",0,,
"₦1,300,000,000.00 ","₦1,300,000,000.00 ",", Alexander road, Ikoyi, Lagos, Nigeria",0,,
"₦270,000,000.00 ","₦270,000,000.00 ",", Osborne Road, Ikoyi, Lagos, Nigeria",0,0f,
"₦420,000,000.00 ","₦420,000,000.00 ",", Alexander Avenue, Ikoyi, Lagos, Nigeria",0,,
"₦750,000,000.00 ","₦750,000,000.00 ",", Cooper road, Ikoyi, Lagos, Nigeria",0,,
"₦1,100,000,000.00 ","₦1,100,000,000.00 ",", Queens Drive, Ikoyi, Lagos, Nigeria",0,0f,
"₦10,000,000,000.00 ","₦10,000,000,000.00 ",", Parkview/Bourdillon, Ikoyi, Lagos, Nigeria",0,,
"₦180,000,000.00 ","₦180,000,000.00 ",", Reeve Road, Ikoyi, Lagos, Nigeria",0,,
"₦320,000,000.00 ","₦320,000,000.00 ",", Musa Yar'Dua, Victoria Island, Lagos, Nigeria",0,,
"₦1,100,000,000.00 ","₦1,100,000,000.00 ",", Glover road, Ikoyi, Lagos, Nigeria",0,,
"₦28,000,000.00 ","₦28,000,000.00 ",", Lokogama, Abuja FCT, Nigeria",2,0f,
"₦650,000,000.00 ","₦650,000,000.00 ",", Aminu Kano Crescent, Wuse 2, Abuja FCT, Nigeria",0,0f,
"₦450,000.00 Per Year","₦450,000.00 Per Year",", Garki, Abuja FCT, Nigeria",,,
"₦60,000,000.00 ","₦60,000,000.00 ",", Games Village, Abuja FCT, Nigeria",4,0f,
"₦65,000,000.00 ","₦65,000,000.00 ",", Lokogama, Abuja FCT, Nigeria",4,0f,
"₦80,000,000.00 ","₦80,000,000.00 ",", Life Camp, Gwarinpa, Abuja FCT, Nigeria",4,0f,
"₦60,000,000.00 ","₦60,000,000.00 ",", Jahi, Abuja FCT, Nigeria",0,,
 , ,", Apo Ex, Abuja FCT, Nigeria",0,,
"₦3,000,000.00 Per Year","₦3,000,000.00 Per Year",", Wuse II, Abuja FCT, Nigeria",3,0f,
"₦14,000,000.00 Per Year","₦14,000,000.00 Per Year",", Maitama, Abuja FCT, Nigeria",2,0f,
"₦18,000,000.00 ","₦18,000,000.00 ",", Commonwealth Estate, Ado-Badore, Ajah, Lekki, Lagos, Nigeria",3,0f,
"₦45,000,000.00 ","₦45,000,000.00 ",", Dayo Oluyemi, Agric, Ikorodu, Lagos, Nigeria",4,0f,
"₦50,000,000.00 ","₦50,000,000.00 ",", Lagos- Ibadan Express, Aseese-Ibafo, Ogun, Nigeria",0,,
"₦47,000,000.00 ","₦47,000,000.00 ",", Surulere, Lagos, Nigeria",4,0f,
"₦8,500,000.00 ","₦8,500,000.00 ",", Abule Egba, Agege, Lagos, Nigeria",0,,
"₦500,000.00 Per Year","₦500,000.00 Per Year",", Ketu, Kosofe, Lagos, Nigeria",0,0f,
